date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,albedo_std,pixel_count,glacier_fraction_mean,season
2022-09-12,0.03764522315,11.14098384,0.372081995,0.0,0.372081995,2022,9,255,0.1794,0.021454603235669497,5,0.739760000000542,September
2024-08-04,0.03621289924,14.62176984,4.758089781,0.0,4.758089781,2024,8,217,0.24754060862873195,0.05353084976210978,10,0.9047200000002602,August
2024-08-05,0.03522485256,12.49690272,1.816347241,0.0,1.816347241,2024,8,218,0.31091421032040695,0.09212452013971131,18,0.8908000000001888,August
2023-08-07,0.03485037114,11.93211581,9.965506196,0.0,9.965506196,2023,8,219,0.10781643309422477,0.03140466544121597,29,0.8875724137932438,August
2023-08-31,0.03484269204,9.561147308,12.68248558,0.0,12.68248558,2023,8,243,0.161,0.01053565375285273,3,0.861733333333516,August
2023-07-07,0.0335157572,10.2840903,10.96478403,0.0,10.96478403,2023,7,188,0.23600000000000002,0.04364630568559039,11,0.8549454545456832,July
2024-08-16,0.03314584594,10.73537216,12.65125871,0.0,12.65125871,2024,8,229,0.2262222222222222,0.04554058019442049,9,0.8123555555558482,August
2023-06-12,0.03276799258,11.25983391,7.322648168,0.0,7.322648168,2023,6,163,0.4179194557883278,0.09800416234354624,22,0.8315818181820791,June
2023-07-12,0.03265089147,10.82992961,3.08723788,0.0,3.08723788,2023,7,193,0.22033333333333335,0.027900255239410306,12,0.8435333333336054,July
2023-07-31,0.03207677631,13.29927915,0.3701925277,0.0,0.3701925277,2023,7,212,0.15707292209353654,0.03742889019051676,29,0.8640000000002652,July
2023-09-04,0.0318927538,7.635104116,9.499830008,0.0,9.499830008,2023,9,247,0.16766666666666666,0.014541893503483885,6,0.9004666666668671,September
2024-07-21,0.02916322223,18.81064758,0.944751501,0.0,0.944751501,2024,7,203,0.3550598308627286,0.05562789412748595,22,0.8363636363640606,July
2023-08-17,0.02906707994,18.07623316,0.0,0.0,0.0,2023,8,229,0.14387783711445187,0.02573493661219958,16,0.887275000000204,August
2024-07-22,0.02880170491,18.97333934,1.474457979,0.0,1.474457979,2024,7,204,0.42508268136016786,0.073529364684216,25,0.8554080000002373,July
2024-09-12,0.0284326511,5.528074519,13.37317228,0.5421303213,12.83104196,2024,9,256,0.18546153846153846,0.024673249294919194,13,0.8553846153848639,September
