date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2023-07-24,0.04041331211,17.79275093,0.3854721785,0.0,0.3854721785,2023,7,205,0.15147867297695333,0.2346981889682387,-0.08321951599128538,0.017151913086945556,0.001504723700356473,-0.6565991218335139
2023-08-19,0.04040224511,6.278574244,1.044988632,0.0,1.044988632,2023,8,231,0.17486200553211378,0.2760181360955913,-0.1011561305634775,0.020466523311419283,0.0026708933151624904,-0.7994676170209687
2024-07-28,0.03829522047,11.35480207,0.2930849791,0.0,0.2930849791,2024,7,210,0.3354166666666667,0.262159733908554,0.07325693275811268,0.011909948808412937,0.000801089279543498,0.5764594698274288
2023-08-03,0.0381434447,16.92602119,0.04524290551,0.0,0.04524290551,2023,8,215,0.11510424807247782,0.24216947324620292,-0.1270652251737251,0.014897860390049561,0.0030330628696734166,-1.0013926271368314
2022-09-12,0.03764522315,11.14098384,0.372081995,0.0,0.372081995,2022,9,255,0.1794,0.2636325524809018,-0.08423255248090178,0.011561400342394957,0.0010273953248844407,-0.6627098461590135
2024-08-04,0.03621289924,14.62176984,4.758089781,0.0,4.758089781,2024,8,217,0.24754060862873195,0.23918371106668926,0.008356897562042692,0.010476911977147316,9.144041850613218e-06,0.06571286813725252
2024-08-05,0.03522485256,12.49690272,1.816347241,0.0,1.816347241,2024,8,218,0.31091421032040695,0.2575183545568915,0.053395855763515465,0.008272548951404127,0.000293451541407357,0.4194012245752374
2023-08-07,0.03485037114,11.93211581,9.965506196,0.0,9.965506196,2023,8,219,0.10781643309422477,0.23534699425725558,-0.1275305611630308,0.020517312580776683,0.004256200753748161,-1.007938882326989
2023-08-31,0.03484269204,9.561147308,12.68248558,0.0,12.68248558,2023,8,243,0.161,0.23600162580956854,-0.07500162580956854,0.032242796369016835,0.002369779000075645,-0.596356258870415
2023-07-07,0.0335157572,10.2840903,10.96478403,0.0,10.96478403,2023,7,188,0.23600000000000002,0.24036953901763058,-0.004369539017630569,0.023907536266383627,5.862606748694979e-06,-0.03459461105134994
